Marital Status,Hours_Week,Gender,Occupation,CustomerID,Age,months_as_customer,policy_deductable,policy_annual_premium,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,State,vehicle_age,work
1,13,0,2,902,50,328,1000,1406.91,4,53300,0,2,2,3,1,1,1,1,2,1,71610,6510,13020,52080,6,19,2
3,40,0,9,5506,38,228,2000,1197.22,2,0,0,3,1,1,1,1,0,0,0,0,5070,780,780,3510,24,16,1
1,40,0,9,3869,53,134,2000,1413.14,1,35100,0,1,1,1,1,3,0,2,3,0,34650,7700,3850,23100,3,16,1
1,40,1,1,7106,28,256,2000,1415.74,6,48900,-62400,2,3,3,1,1,0,1,2,0,63400,6340,6340,50720,5,9,1
1,40,1,2,1760,37,228,1000,1583.91,6,66000,-46000,3,1,1,5,1,0,0,1,0,6500,1300,650,4550,5,14,1
5,16,1,6,2454,49,256,1000,1351.1,6,0,0,1,1,3,2,3,0,0,2,0,64100,6410,6410,51280,2,20,1
1,45,0,2,7765,52,137,1000,1333.35,4,0,-77000,1,3,1,1,3,0,0,0,0,78650,21450,7150,50050,23,11,2
2,50,1,1,9448,31,165,1000,1137.03,6,0,0,1,3,2,1,3,0,2,2,1,51590,9380,9380,32830,29,8,1
1,40,0,2,5517,42,27,500,1442.99,1,0,0,2,3,2,1,1,0,1,1,1,27700,2770,2770,22160,29,11,1
1,80,0,2,786,37,212,500,1315.68,5,0,-39300,2,1,2,3,1,0,2,1,0,42300,4700,4700,32900,24,27,1
1,40,0,1,869,30,235,500,1253.12,2,38400,0,2,3,2,1,1,1,2,2,0,87010,7910,15820,63280,2,21,4
2,30,1,4,7798,23,447,2000,1137.16,2,0,-51000,1,3,3,2,3,1,1,2,1,114920,17680,17680,79560,11,17,1
2,50,0,5,2198,32,60,500,1215.36,5,0,0,2,1,2,4,1,1,1,0,0,56520,4710,9420,42390,29,23,1
1,40,0,3,6451,40,121,1000,936.61,5,52800,-32800,4,1,1,5,1,0,1,1,0,7280,1120,1120,5040,2,13,1
1,45,0,8,7309,34,180,2000,1301.13,3,41300,-55500,2,1,2,1,1,0,0,2,1,46200,4200,8400,33600,10,20,1
2,35,0,10,7905,25,473,2000,1131.4,2,55700,0,1,2,3,3,4,1,0,0,0,63120,10520,10520,42080,15,24,2
2,40,0,7,1986,32,70,1000,1199.44,1,63600,0,1,1,3,3,3,0,1,2,1,52110,5790,5790,40530,9,11,1
1,50,0,5,9178,38,140,500,708.64,6,53500,0,2,2,2,1,1,0,0,2,1,77880,14160,7080,56640,12,8,1
3,45,1,2,9952,43,160,500,1374.22,2,45500,-37800,2,2,2,3,1,1,1,0,0,72930,6630,13260,53040,25,8,2
1,60,0,1,1989,40,196,2000,1475.73,1,57000,-27300,1,2,3,1,3,0,2,0,0,60400,6040,6040,48320,24,9,1
7,20,1,6,1004,54,460,1000,1187.96,1,0,0,1,1,1,1,3,0,1,0,0,47160,0,5240,41920,11,12,1
1,40,0,10,7303,35,217,2000,875.15,1,46700,0,1,2,2,1,3,0,1,2,0,37840,0,4730,33110,8,27,6
1,40,0,8,7341,43,370,2000,972.18,2,72700,-68200,1,1,3,4,3,0,0,0,1,71520,17880,5960,47680,2,23,1
3,40,1,11,8082,59,413,2000,1268.79,1,0,-31000,2,3,2,4,1,0,2,2,0,98160,8180,16360,73620,6,12,1
1,40,0,11,3738,56,237,1000,883.31,4,0,-53500,2,1,1,3,1,0,1,3,0,77880,7080,14160,56640,14,18,3
2,40,0,3,4895,19,8,2000,1266.92,1,0,0,1,1,3,3,3,0,1,3,1,71500,16500,11000,44000,8,17,1
1,60,0,1,5771,54,257,2000,1322.1,1,0,-29200,4,1,1,1,1,1,1,3,1,9020,1640,820,6560,22,18,1
3,80,0,2,6040,39,202,500,848.07,3,31000,-30200,3,1,1,5,1,1,2,1,0,5720,1040,520,4160,26,20,1
1,40,0,3,9471,49,224,2000,1291.7,3,0,-55600,2,2,1,3,1,0,1,0,1,69840,7760,15520,46560,22,14,1
2,52,0,12,1426,23,241,2000,1104.5,6,0,0,2,1,1,1,1,0,2,2,0,91650,14100,14100,63450,22,12,3
2,44,0,5,2627,20,64,1000,954.16,4,53200,0,1,2,3,4,4,0,0,0,0,75600,12600,12600,50400,19,18,1
3,40,0,2,4264,45,166,2000,1337.28,4,27500,0,1,2,3,1,3,0,2,2,0,67140,7460,7460,52220,23,17,1
1,40,0,4,1779,30,155,1000,1088.34,2,81100,0,1,3,2,1,3,1,2,3,0,29790,3310,3310,23170,6,15,6
1,15,0,6,6587,22,114,1000,1558.29,5,51400,-64000,1,3,3,4,3,0,1,2,0,77110,14020,14020,49070,20,8,4
2,40,0,7,3377,48,149,500,1415.68,1,0,0,2,2,2,2,1,1,0,1,1,64800,10800,5400,48600,29,24,1
2,40,0,7,9345,21,147,1000,1334.15,3,53300,-49200,2,3,3,3,1,1,2,0,1,53100,10620,5310,37170,21,28,1
